opportunity number,region,Sales Team,Opportunity Name,epc phase,opportunity owner,Stage,Fiscal Period,Use Case,ACV ($),Next Steps,date in stage 0,date in Stage 1,Date in Stage 2,date in stage 3,days in stage 4,date in stage 5,account name,account grouping,contact title,Budget approved,Compelling event established,Close plan agreed,Why Anything?,Why Now?,Why us as a vendor?,Competitor,Partner,customer Need for our solution
OPP-FY26-0371,GP&A,Strategic Accounts,Company 371 - Security & Compliance,Commit,Owner 70,1,Q1 FY26,Analytics & Reporting,60761,,2025-10-09,2025-10-29,,,,,Company 371,Parent Account 19,Head of Data,,,,Does not scale,M&A drive,,Internal Build,Partner Y,
OPP-FY26-0372,LAC,Public Sector,Company 372 - Security & Compliance,Prove,Owner 5,4,Q2 FY26,AI/ML Enablement,80724,POC run,2026-01-29,,2026-03-18,,158,,Company 372,,VP Eng,Yes,Yes,Yes,Reg risk,,,Competitor B,Partner Y,Faster release
OPP-FY26-0373,GP&A,Public Sector,Company 373 - DevOps & Automation,Commit,Owner 195,0,Q1 FY26,Security & Compliance,143012,Procurement alignment,2025-11-06,,,,,,Company 373,Parent Account 127,VP Eng,No,,No,Does not scale,M&A drive,Strong roadmap,Competitor B,GSII,Faster release
OPP-FY26-0374,NORAM,Strategic Accounts,Company 374 - Analytics & Reporting,Explore,Owner 10,4,Q2 FY26,AI/ML Enablement,106464,,2026-02-20,2026-02-28,2026-03-09,,168,,Company 374,Parent Account 161,Cloud Arch,Yes,No,,Does not scale,Exec mandate,Strong roadmap,Competitor B,Partner Y,Security posture
OPP-FY26-0375,LAC,SMB,Company 375 - AI/ML Enablement,Prove,Owner 54,1,Q3 FY26,Data Platform Modernization,217925,Implementation plan,2026-04-24,2026-06-05,,,,,Company 375,,Infra Lead,,,,,,,Competitor A,None,Faster release
OPP-FY26-0376,APAC,SMB,Company 376 - DevOps & Automation,Commit,Owner 58,0,Q2 FY26,Data Platform Modernization,37782,Procurement alignment,2026-03-09,,,,,,Company 376,Parent Account 50,VP Eng,No,No,No,,,,Competitor C,None,
OPP-FY26-0377,GP&A,Mid-Market,Company 377 - Security & Compliance,Explore,Owner 60,4,Q2 FY26,Security & Compliance,101052,Implementation plan,2026-02-28,2026-04-13,2026-05-10,,80,,Company 377,Parent Account 158,,No,,,Reg risk,,,Internal Build,Consulting Co,Faster release
OPP-FY26-0378,NORAM,SMB,Company 378 - DevOps & Automation,Explore,Owner 112,2,Q1 FY26,Customer 360 View,66836,Exec sponsor confirm,2025-12-19,2026-01-24,2026-02-16,,,,Company 378,Parent Account 178,Cloud Arch,Yes,No,,Does not scale,Exec mandate,Best fit,Competitor B,Consulting Co,
OPP-FY26-0379,NORAM,Enterprise,Company 379 - Customer 360 View,Prove,Owner 85,0,Q1 FY26,Cloud Cost Optimization,222767,Procurement alignment,2025-11-20,,,,,,Company 379,,VP Eng,Yes,Yes,No,,Renewal soon,Low TCO,Internal Build,None,Faster release
OPP-FY26-0380,NORAM,Mid-Market,Company 380 - Cloud Cost Optimization,Prove,Owner 31,3,Q3 FY26,Cloud Cost Optimization,36865,,2026-04-10,,,2026-07-09,,,Company 380,Parent Account 182,CIO,No,Yes,Yes,Does not scale,Budget expires FY,Strong roadmap,Internal Build,Consulting Co,
OPP-FY26-0381,APAC,SMB,Company 381 - Data Platform Modernization,Commit,Owner 90,4,Q1 FY26,Cloud Cost Optimization,36176,,2025-11-07,,2025-12-05,2025-12-19,254,,Company 381,Parent Account 146,Cloud Arch,,,,Fragmented tools,,Strong roadmap,Competitor B,GSII,Reduce Ops
OPP-FY26-0382,NORAM,SMB,Company 382 - Security & Compliance,Commit,Owner 81,1,Q1 FY26,AI/ML Enablement,41787,Procurement alignment,2025-12-19,2025-12-25,,,,,Company 382,Parent Account 49,VP Eng,Yes,No,,Does not scale,Exec mandate,References match,Competitor B,Partner X,
OPP-FY26-0383,APAC,Public Sector,Company 383 - Analytics & Reporting,Explore,Owner 67,4,Q1 FY26,Security & Compliance,16741,Implementation plan,2025-11-23,,2026-01-17,2026-03-02,191,,Company 383,Parent Account 9,CIO,Yes,No,No,,Renewal soon,,Internal Build,GSII,Security posture
OPP-FY26-0384,GP&A,Public Sector,Company 384 - Security & Compliance,Explore,Owner 113,0,Q1 FY26,Analytics & Reporting,43675,POC run,2025-11-17,,,,,,Company 384,Parent Account 152,Head of Data,No,,No,Reg risk,,Best fit,Status Quo,Partner X,Faster release
OPP-FY26-0385,EMEA,Public Sector,Company 385 - DevOps & Automation,Commit,Owner 51,2,Q3 FY26,Customer 360 View,37968,Proposal review,2026-06-02,2026-07-11,2026-08-08,,,,Company 385,,CTO,Yes,No,Yes,Reg risk,,,Competitor B,GSII,
OPP-FY26-0386,NORAM,Mid-Market,Company 386 - DevOps & Automation,Commit,Owner 199,1,Q3 FY26,Data Platform Modernization,65528,,2026-05-08,2026-05-24,,,,,Company 386,Parent Account 41,,No,No,No,Fragmented tools,Exec mandate,Best fit,Competitor C,GSII,Faster release
OPP-FY26-0387,EMEA,Public Sector,Company 387 - Analytics & Reporting,Explore,Owner 157,4,Q1 FY26,Customer 360 View,73500,Proposal review,2025-10-19,,2025-12-17,,202,,Company 387,,CIO,Yes,,,Reg risk,,Strong roadmap,Internal Build,Partner X,Security posture
OPP-FY26-0388,APAC,Strategic Accounts,Company 388 - Analytics & Reporting,Explore,Owner 42,3,Q1 FY26,Data Platform Modernization,184554,Deep dive,2025-11-15,2025-11-28,2025-12-26,2026-01-31,,,Company 388,Parent Account 130,Director IT,Yes,No,Yes,Does not scale,Renewal soon,References match,Internal Build,GSII,
OPP-FY26-0389,APAC,Mid-Market,Company 389 - Cloud Cost Optimization,Prove,Owner 182,1,Q2 FY26,Customer 360 View,105900,Procurement alignment,2026-01-17,2026-02-23,,,,,Company 389,Parent Account 132,Cloud Arch,No,,Yes,Reg risk,,Strong roadmap,Competitor A,None,
OPP-FY26-0390,APAC,SMB,Company 390 - DevOps & Automation,Explore,Owner 137,2,Q2 FY26,DevOps & Automation,42355,,2026-01-15,2026-01-19,2026-02-19,,,,Company 390,Parent Account 45,CIO,Yes,No,No,Reg risk,Budget expires FY,,Competitor C,GSII,
OPP-FY26-0391,APAC,SMB,Company 391 - DevOps & Automation,Commit,Owner 78,0,Q2 FY26,AI/ML Enablement,34924,Exec sponsor confirm,2026-01-06,,,,,,Company 391,Parent Account 48,Infra Lead,Yes,No,Yes,Does not scale,Budget expires FY,Low TCO,Internal Build,Partner Y,
OPP-FY26-0392,GP&A,Mid-Market,Company 392 - DevOps & Automation,Prove,Owner 70,1,Q1 FY26,Cloud Cost Optimization,80430,,2025-12-10,2026-01-14,,,,,Company 392,Parent Account 5,Cloud Arch,Yes,No,,,,Strong roadmap,Status Quo,Consulting Co,Faster release
OPP-FY26-0393,EMEA,SMB,Company 393 - Analytics & Reporting,Prove,Owner 39,2,Q2 FY26,AI/ML Enablement,27115,Deep dive,2026-02-16,2026-03-15,2026-04-17,,,,Company 393,,Director IT,Yes,No,Yes,,,Strong roadmap,Internal Build,Partner X,Reduce Ops
OPP-FY26-0394,APAC,SMB,Company 394 - Customer 360 View,Commit,Owner 126,1,Q2 FY26,Security & Compliance,179669,Exec sponsor confirm,2026-03-09,2026-04-03,,,,,Company 394,Parent Account 138,CTO,,,Yes,Legacy expensive,M&A drive,Strong roadmap,Internal Build,None,Security posture
OPP-FY26-0395,EMEA,Public Sector,Company 395 - Customer 360 View,Commit,Owner 101,2,Q2 FY26,Security & Compliance,121499,Implementation plan,2026-03-11,2026-03-20,2026-05-04,,,,Company 395,,Director IT,No,,Yes,Fragmented tools,Exec mandate,Best fit,Competitor A,Consulting Co,Faster release
OPP-FY26-0396,LAC,Public Sector,Company 396 - DevOps & Automation,Prove,Owner 6,3,Q1 FY26,Data Platform Modernization,45183,Exec sponsor confirm,2025-11-18,,2026-01-04,2026-02-15,,,Company 396,Parent Account 43,Head of Data,Yes,Yes,No,Legacy expensive,Budget expires FY,,Competitor B,GSII,
OPP-FY26-0397,NORAM,Public Sector,Company 397 - AI/ML Enablement,Explore,Owner 46,0,Q1 FY26,AI/ML Enablement,21420,Exec sponsor confirm,2025-11-22,,,,,,Company 397,Parent Account 29,Cloud Arch,No,,,Fragmented tools,M&A drive,References match,Competitor A,Consulting Co,Security posture
OPP-FY26-0398,APAC,SMB,Company 398 - AI/ML Enablement,Commit,Owner 131,4,Q1 FY26,DevOps & Automation,134904,Procurement alignment,2025-10-31,2025-12-11,2026-01-24,,208,,Company 398,Parent Account 110,,Yes,Yes,No,,Budget expires FY,,Competitor C,Partner X,Faster release
OPP-FY26-0399,LAC,SMB,Company 399 - Customer 360 View,Explore,Owner 195,3,Q3 FY26,Security & Compliance,55897,Procurement alignment,2026-04-11,,2026-05-18,2026-06-11,,,Company 399,Parent Account 74,CIO,No,,Yes,Does not scale,M&A drive,Best fit,Competitor B,Partner Y,Security posture
OPP-FY26-0400,LAC,Enterprise,Company 400 - Data Platform Modernization,Prove,Owner 185,2,Q2 FY26,Customer 360 View,125830,Exec sponsor confirm,2026-03-13,2026-03-30,2026-04-03,,,,Company 400,,Head of Data,Yes,Yes,No,Reg risk,M&A drive,,Internal Build,Partner X,Visibility
OPP-FY26-0401,NORAM,SMB,Company 401 - AI/ML Enablement,Prove,Owner 146,2,Q1 FY26,DevOps & Automation,23002,Implementation plan,2025-11-22,,2025-12-21,,,,Company 401,,Cloud Arch,Yes,No,No,Does not scale,Exec mandate,Low TCO,Competitor A,Consulting Co,
OPP-FY26-0402,GP&A,Mid-Market,Company 402 - Cloud Cost Optimization,Commit,Owner 69,1,Q2 FY26,Customer 360 View,41788,,2026-03-26,2026-05-09,,,,,Company 402,Parent Account 191,CTO,Yes,Yes,,Legacy expensive,M&A drive,,Competitor A,Partner Y,
OPP-FY26-0403,LAC,Mid-Market,Company 403 - Customer 360 View,Prove,Owner 77,0,Q2 FY26,Customer 360 View,60062,,2026-01-30,,,,,,Company 403,Parent Account 111,Cloud Arch,No,Yes,No,Does not scale,Exec mandate,,Internal Build,None,Security posture
OPP-FY26-0404,EMEA,Strategic Accounts,Company 404 - Cloud Cost Optimization,Explore,Owner 125,2,Q1 FY26,Cloud Cost Optimization,61585,Implementation plan,2025-12-07,2026-01-13,2026-01-31,,,,Company 404,Parent Account 131,Director IT,,No,Yes,,,Low TCO,Competitor B,GSII,Security posture
OPP-FY26-0405,NORAM,Public Sector,Company 405 - DevOps & Automation,Explore,Owner 84,4,Q2 FY26,Customer 360 View,45704,Procurement alignment,2026-01-29,2026-02-07,,,155,,Company 405,,Infra Lead,No,,No,Does not scale,,Strong roadmap,Competitor C,Consulting Co,Security posture
OPP-FY26-0406,GP&A,SMB,Company 406 - Cloud Cost Optimization,Commit,Owner 52,3,Q3 FY26,Security & Compliance,87004,Implementation plan,2026-04-14,,2026-05-16,2026-06-13,,,Company 406,Parent Account 66,VP Eng,Yes,,Yes,Reg risk,,,Internal Build,None,Faster release
OPP-FY26-0407,GP&A,Mid-Market,Company 407 - Data Platform Modernization,Commit,Owner 151,0,Q3 FY26,AI/ML Enablement,31553,Implementation plan,2026-04-18,,,,,,Company 407,Parent Account 15,Infra Lead,No,,Yes,,M&A drive,Best fit,Status Quo,Partner Y,Visibility
OPP-FY26-0408,APAC,Mid-Market,Company 408 - Analytics & Reporting,Explore,Owner 180,2,Q2 FY26,DevOps & Automation,54971,Exec sponsor confirm,2026-02-24,,2026-05-17,,,,Company 408,,Cloud Arch,No,,,,,,Internal Build,Consulting Co,Faster release
OPP-FY26-0409,LAC,SMB,Company 409 - Cloud Cost Optimization,Commit,Owner 112,0,Q3 FY26,Cloud Cost Optimization,64355,,2026-05-01,,,,,,Company 409,,Cloud Arch,No,No,Yes,Fragmented tools,Renewal soon,References match,Competitor B,Partner X,Faster release
OPP-FY26-0410,GP&A,Enterprise,Company 410 - AI/ML Enablement,Commit,Owner 76,3,Q2 FY26,Cloud Cost Optimization,81524,POC run,2026-01-24,,2026-03-21,2026-04-14,,,Company 410,Parent Account 100,,No,No,No,Legacy expensive,Exec mandate,,Competitor B,Partner Y,
OPP-FY26-0411,APAC,Mid-Market,Company 411 - Customer 360 View,Prove,Owner 18,0,Q2 FY26,Data Platform Modernization,91763,Exec sponsor confirm,2026-02-14,,,,,,Company 411,,CTO,Yes,No,Yes,Legacy expensive,,,Internal Build,Partner X,Faster release
OPP-FY26-0412,NORAM,Mid-Market,Company 412 - Analytics & Reporting,Prove,Owner 152,1,Q2 FY26,Analytics & Reporting,30491,Procurement alignment,2026-01-06,2026-01-12,,,,,Company 412,Parent Account 45,Head of Data,,,No,Does not scale,Exec mandate,Best fit,Status Quo,GSII,
OPP-FY26-0413,GP&A,Strategic Accounts,Company 413 - AI/ML Enablement,Explore,Owner 91,0,Q3 FY26,Data Platform Modernization,23849,,2026-05-30,,,,,,Company 413,,,,Yes,No,Fragmented tools,Exec mandate,,Competitor B,Partner Y,
OPP-FY26-0414,NORAM,SMB,Company 414 - Data Platform Modernization,Commit,Owner 107,1,Q1 FY26,Analytics & Reporting,128876,,2025-11-05,2025-12-08,,,,,Company 414,Parent Account 45,CTO,Yes,Yes,Yes,Fragmented tools,Exec mandate,Strong roadmap,Competitor C,None,
OPP-FY26-0415,APAC,Mid-Market,Company 415 - AI/ML Enablement,Explore,Owner 139,0,Q1 FY26,AI/ML Enablement,73085,Deep dive,2025-12-24,,,,,,Company 415,,Infra Lead,,No,Yes,,M&A drive,References match,Status Quo,Consulting Co,Reduce Ops
OPP-FY26-0416,EMEA,Mid-Market,Company 416 - Data Platform Modernization,Commit,Owner 139,0,Q1 FY26,Data Platform Modernization,38212,Procurement alignment,2025-12-19,,,,,,Company 416,,Infra Lead,No,,Yes,,Renewal soon,,Status Quo,Partner X,
OPP-FY26-0417,GP&A,Public Sector,Company 417 - Customer 360 View,Commit,Owner 148,1,Q3 FY26,Data Platform Modernization,151856,POC run,2026-04-05,2026-05-20,,,,,Company 417,,CTO,No,Yes,No,Legacy expensive,,Low TCO,Competitor B,Partner Y,Faster release
OPP-FY26-0418,EMEA,Public Sector,Company 418 - AI/ML Enablement,Explore,Owner 191,4,Q2 FY26,Data Platform Modernization,64177,Proposal review,2026-02-01,2026-03-06,2026-03-31,2026-04-15,125,,Company 418,Parent Account 132,VP Eng,Yes,No,No,Does not scale,,Strong roadmap,Competitor A,None,
OPP-FY26-0419,GP&A,Public Sector,Company 419 - Cloud Cost Optimization,Commit,Owner 47,3,Q3 FY26,AI/ML Enablement,121488,POC run,2026-05-01,2026-05-11,,2026-06-28,,,Company 419,,,Yes,Yes,No,Legacy expensive,Renewal soon,Strong roadmap,Status Quo,Partner Y,
OPP-FY26-0420,NORAM,Public Sector,Company 420 - Customer 360 View,Prove,Owner 52,1,Q2 FY26,Data Platform Modernization,62349,,2026-03-12,2026-04-24,,,,,Company 420,Parent Account 103,VP Eng,No,,,Does not scale,,,Internal Build,Partner Y,Reduce Ops
OPP-FY26-0421,GP&A,Strategic Accounts,Company 421 - Customer 360 View,Explore,Owner 64,1,Q3 FY26,Analytics & Reporting,206168,Procurement alignment,2026-04-14,2026-05-02,,,,,Company 421,Parent Account 58,,,,Yes,,Renewal soon,Low TCO,Status Quo,Consulting Co,Reduce Ops
OPP-FY26-0422,EMEA,SMB,Company 422 - Cloud Cost Optimization,Prove,Owner 66,2,Q3 FY26,Cloud Cost Optimization,171648,,2026-04-29,2026-05-09,2026-06-15,,,,Company 422,Parent Account 110,,No,Yes,Yes,,M&A drive,References match,Competitor A,GSII,Security posture
OPP-FY26-0423,NORAM,Public Sector,Company 423 - AI/ML Enablement,Commit,Owner 69,4,Q1 FY26,Cloud Cost Optimization,51566,Proposal review,2025-12-24,,,2026-03-27,162,,Company 423,,Cloud Arch,No,,Yes,Fragmented tools,Renewal soon,Best fit,Status Quo,Consulting Co,Faster release
OPP-FY26-0424,GP&A,Public Sector,Company 424 - Analytics & Reporting,Commit,Owner 10,0,Q1 FY26,AI/ML Enablement,107252,Implementation plan,2025-12-28,,,,,,Company 424,,Infra Lead,No,,,,M&A drive,References match,Competitor C,GSII,Security posture
OPP-FY26-0425,EMEA,Mid-Market,Company 425 - Security & Compliance,Commit,Owner 198,1,Q1 FY26,Analytics & Reporting,88187,Deep dive,2025-12-10,2026-01-10,,,,,Company 425,Parent Account 83,Infra Lead,No,Yes,Yes,,,Low TCO,Competitor C,None,Faster release
OPP-FY26-0426,NORAM,SMB,Company 426 - Cloud Cost Optimization,Explore,Owner 49,3,Q1 FY26,Customer 360 View,136104,POC run,2025-11-21,2025-12-10,2026-01-13,2026-02-07,,,Company 426,Parent Account 130,Infra Lead,No,Yes,,Fragmented tools,M&A drive,Best fit,Status Quo,GSII,
OPP-FY26-0427,APAC,Mid-Market,Company 427 - Customer 360 View,Explore,Owner 171,3,Q1 FY26,Data Platform Modernization,33558,Proposal review,2025-10-27,2025-11-17,2025-12-29,2026-02-06,,,Company 427,Parent Account 58,Cloud Arch,,Yes,,,Renewal soon,References match,Internal Build,None,Reduce Ops
OPP-FY26-0428,EMEA,Mid-Market,Company 428 - Data Platform Modernization,Commit,Owner 92,4,Q2 FY26,Cloud Cost Optimization,90366,POC run,2026-02-26,2026-03-26,2026-05-08,2026-06-16,79,,Company 428,,CTO,Yes,,No,Fragmented tools,Budget expires FY,Best fit,Status Quo,Partner X,Faster release
OPP-FY26-0429,EMEA,Strategic Accounts,Company 429 - Analytics & Reporting,Commit,Owner 38,3,Q2 FY26,Cloud Cost Optimization,112990,,2026-03-01,,2026-04-07,2026-04-20,,,Company 429,Parent Account 17,Infra Lead,No,Yes,No,Legacy expensive,Budget expires FY,Strong roadmap,Competitor C,GSII,Reduce Ops
OPP-FY26-0430,LAC,Enterprise,Company 430 - Analytics & Reporting,Explore,Owner 158,4,Q3 FY26,Cloud Cost Optimization,20842,Implementation plan,2026-05-31,2026-06-29,,2026-08-17,4,,Company 430,Parent Account 187,CTO,Yes,Yes,Yes,Reg risk,,References match,Internal Build,Consulting Co,Faster release
OPP-FY26-0431,EMEA,Mid-Market,Company 431 - DevOps & Automation,Prove,Owner 65,1,Q3 FY26,AI/ML Enablement,29438,,2026-05-05,2026-05-29,,,,,Company 431,Parent Account 67,Director IT,No,,Yes,Fragmented tools,Renewal soon,Low TCO,Competitor A,Partner Y,Visibility
OPP-FY26-0432,NORAM,Public Sector,Company 432 - AI/ML Enablement,Explore,Owner 138,4,Q1 FY26,Security & Compliance,17614,Deep dive,2025-10-04,,2025-10-30,2025-11-26,286,,Company 432,,CIO,Yes,Yes,Yes,,Renewal soon,Low TCO,Competitor C,GSII,Visibility
OPP-FY26-0433,GP&A,Mid-Market,Company 433 - Customer 360 View,Explore,Owner 157,1,Q2 FY26,Data Platform Modernization,50937,Proposal review,2026-03-01,2026-04-06,,,,,Company 433,,Infra Lead,No,Yes,Yes,,,,Competitor A,Consulting Co,Visibility
OPP-FY26-0434,LAC,Public Sector,Company 434 - Customer 360 View,Commit,Owner 137,0,Q2 FY26,Customer 360 View,92090,Implementation plan,2026-03-19,,,,,,Company 434,Parent Account 140,Infra Lead,,,No,,Renewal soon,Strong roadmap,Status Quo,Consulting Co,Security posture
OPP-FY26-0435,EMEA,Public Sector,Company 435 - DevOps & Automation,Commit,Owner 139,2,Q3 FY26,Security & Compliance,147475,Proposal review,2026-04-16,2026-04-22,2026-05-28,,,,Company 435,Parent Account 190,CIO,Yes,,Yes,Reg risk,Budget expires FY,Low TCO,Competitor A,Consulting Co,Reduce Ops
OPP-FY26-0436,APAC,Strategic Accounts,Company 436 - Security & Compliance,Commit,Owner 30,2,Q1 FY26,Data Platform Modernization,62596,Implementation plan,2025-10-19,,2025-12-08,,,,Company 436,Parent Account 62,Infra Lead,No,No,No,,Budget expires FY,Strong roadmap,Internal Build,None,
OPP-FY26-0437,NORAM,Strategic Accounts,Company 437 - Data Platform Modernization,Commit,Owner 3,2,Q2 FY26,DevOps & Automation,159081,Procurement alignment,2026-01-13,2026-01-16,2026-02-14,,,,Company 437,Parent Account 11,Infra Lead,Yes,,,,,Strong roadmap,Internal Build,GSII,
OPP-FY26-0438,APAC,Strategic Accounts,Company 438 - AI/ML Enablement,Explore,Owner 29,4,Q1 FY26,Security & Compliance,26158,Proposal review,2025-12-06,2025-12-15,2025-12-25,2026-01-22,236,,Company 438,Parent Account 100,,,No,Yes,Fragmented tools,Budget expires FY,,Competitor A,Partner Y,Security posture
OPP-FY26-0439,GP&A,Mid-Market,Company 439 - Data Platform Modernization,Commit,Owner 17,2,Q3 FY26,Security & Compliance,21546,,2026-05-24,2026-06-07,2026-07-02,,,,Company 439,Parent Account 50,VP Eng,,,Yes,Does not scale,Budget expires FY,,Competitor A,Consulting Co,Visibility
OPP-FY26-0440,APAC,Mid-Market,Company 440 - Cloud Cost Optimization,Prove,Owner 1,1,Q3 FY26,Customer 360 View,57911,,2026-04-04,2026-04-27,,,,,Company 440,Parent Account 100,Cloud Arch,Yes,Yes,,Reg risk,,References match,Competitor B,Consulting Co,Security posture
OPP-FY26-0441,NORAM,Strategic Accounts,Company 441 - Data Platform Modernization,Explore,Owner 95,3,Q2 FY26,DevOps & Automation,75390,POC run,2026-01-31,2026-02-12,,2026-04-22,,,Company 441,Parent Account 77,,No,Yes,Yes,,M&A drive,References match,Internal Build,Consulting Co,Faster release
OPP-FY26-0442,NORAM,Mid-Market,Company 442 - Customer 360 View,Explore,Owner 187,2,Q1 FY26,DevOps & Automation,58711,,2025-12-23,,2026-03-06,,,,Company 442,,VP Eng,No,,Yes,,,,Competitor B,Consulting Co,
OPP-FY26-0443,NORAM,Strategic Accounts,Company 443 - Customer 360 View,Explore,Owner 39,3,Q1 FY26,AI/ML Enablement,17318,Implementation plan,2025-10-07,2025-10-23,,2025-12-28,,,Company 443,Parent Account 63,Cloud Arch,No,Yes,,Fragmented tools,,,Competitor C,Partner Y,Reduce Ops
OPP-FY26-0444,GP&A,Strategic Accounts,Company 444 - Data Platform Modernization,Commit,Owner 45,2,Q3 FY26,Data Platform Modernization,56756,POC run,2026-05-04,2026-05-11,2026-06-06,,,,Company 444,Parent Account 144,CTO,,Yes,,Reg risk,Exec mandate,Best fit,Competitor B,Consulting Co,Visibility
OPP-FY26-0445,NORAM,Enterprise,Company 445 - Customer 360 View,Commit,Owner 93,1,Q3 FY26,AI/ML Enablement,27373,Procurement alignment,2026-05-14,2026-06-10,,,,,Company 445,Parent Account 47,Director IT,No,No,Yes,,Exec mandate,,Competitor B,GSII,Security posture
OPP-FY26-0446,GP&A,Enterprise,Company 446 - Customer 360 View,Commit,Owner 107,0,Q1 FY26,Security & Compliance,89482,Exec sponsor confirm,2025-12-30,,,,,,Company 446,Parent Account 65,CTO,Yes,,Yes,Does not scale,,Strong roadmap,Internal Build,Partner X,Security posture
OPP-FY26-0447,APAC,SMB,Company 447 - AI/ML Enablement,Explore,Owner 121,1,Q3 FY26,AI/ML Enablement,74604,Deep dive,2026-05-12,2026-06-23,,,,,Company 447,Parent Account 178,Infra Lead,No,No,,Does not scale,Budget expires FY,,Internal Build,Partner X,Security posture
OPP-FY26-0448,APAC,Mid-Market,Company 448 - Cloud Cost Optimization,Explore,Owner 96,0,Q1 FY26,Cloud Cost Optimization,34066,Proposal review,2025-10-06,,,,,,Company 448,Parent Account 61,,,Yes,No,,M&A drive,Strong roadmap,Competitor A,None,
OPP-FY26-0449,APAC,Enterprise,Company 449 - AI/ML Enablement,Commit,Owner 60,1,Q1 FY26,Security & Compliance,43988,,2025-11-21,2025-11-29,,,,,Company 449,Parent Account 21,Director IT,Yes,Yes,No,Legacy expensive,Renewal soon,,Competitor B,GSII,Reduce Ops
OPP-FY26-0450,LAC,SMB,Company 450 - Customer 360 View,Prove,Owner 130,4,Q1 FY26,DevOps & Automation,31712,Procurement alignment,2025-11-18,2025-11-28,2025-12-05,,270,,Company 450,Parent Account 110,VP Eng,Yes,,,Fragmented tools,Renewal soon,,Internal Build,Partner X,Visibility
OPP-FY26-0451,GP&A,SMB,Company 451 - DevOps & Automation,Prove,Owner 95,2,Q2 FY26,AI/ML Enablement,57664,Implementation plan,2026-03-28,2026-05-08,2026-05-15,,,,Company 451,Parent Account 126,VP Eng,,,No,,M&A drive,References match,Competitor B,Consulting Co,Faster release
OPP-FY26-0452,NORAM,Strategic Accounts,Company 452 - Data Platform Modernization,Explore,Owner 112,1,Q3 FY26,Analytics & Reporting,106200,Procurement alignment,2026-04-20,2026-05-13,,,,,Company 452,,,,Yes,,,,,Internal Build,None,Faster release
OPP-FY26-0453,APAC,Enterprise,Company 453 - Data Platform Modernization,Commit,Owner 123,1,Q2 FY26,Customer 360 View,33142,Deep dive,2026-02-02,2026-03-19,,,,,Company 453,Parent Account 61,Head of Data,Yes,Yes,Yes,Does not scale,M&A drive,Best fit,Competitor C,GSII,Reduce Ops
OPP-FY26-0454,EMEA,Strategic Accounts,Company 454 - Analytics & Reporting,Prove,Owner 143,3,Q1 FY26,Data Platform Modernization,81018,POC run,2025-10-17,2025-10-21,,2025-12-17,,,Company 454,Parent Account 85,,Yes,Yes,Yes,Legacy expensive,M&A drive,Strong roadmap,Competitor A,Consulting Co,Reduce Ops
OPP-FY26-0455,EMEA,Enterprise,Company 455 - AI/ML Enablement,Prove,Owner 200,0,Q2 FY26,Security & Compliance,43557,Procurement alignment,2026-02-13,,,,,,Company 455,,VP Eng,No,Yes,Yes,Does not scale,M&A drive,Strong roadmap,Internal Build,GSII,Reduce Ops
OPP-FY26-0456,APAC,Mid-Market,Company 456 - Customer 360 View,Commit,Owner 73,1,Q3 FY26,Security & Compliance,37207,,2026-05-25,2026-07-05,,,,,Company 456,,Director IT,Yes,,,,M&A drive,Best fit,Internal Build,None,Reduce Ops
OPP-FY26-0457,EMEA,Mid-Market,Company 457 - Customer 360 View,Explore,Owner 83,2,Q1 FY26,Cloud Cost Optimization,56149,Implementation plan,2025-10-28,,2025-12-19,,,,Company 457,Parent Account 84,Head of Data,Yes,No,No,,Renewal soon,Strong roadmap,Status Quo,Partner X,Visibility
OPP-FY26-0458,APAC,Public Sector,Company 458 - Security & Compliance,Commit,Owner 61,1,Q2 FY26,Cloud Cost Optimization,32172,,2026-02-05,2026-02-12,,,,,Company 458,,VP Eng,No,Yes,Yes,Reg risk,Renewal soon,,Competitor C,Partner Y,
OPP-FY26-0459,NORAM,Public Sector,Company 459 - Data Platform Modernization,Prove,Owner 100,4,Q1 FY26,Analytics & Reporting,42950,Proposal review,2025-10-07,,,,258,,Company 459,Parent Account 102,CIO,No,No,,,,Low TCO,Competitor C,None,Reduce Ops
OPP-FY26-0460,EMEA,SMB,Company 460 - Customer 360 View,Prove,Owner 131,1,Q2 FY26,AI/ML Enablement,29181,Implementation plan,2026-02-15,2026-02-18,,,,,Company 460,Parent Account 52,Cloud Arch,,No,No,Reg risk,,,Competitor A,Partner Y,Reduce Ops
OPP-FY26-0461,NORAM,Public Sector,Company 461 - Analytics & Reporting,Prove,Owner 56,2,Q3 FY26,Customer 360 View,194626,POC run,2026-05-02,2026-05-18,2026-06-27,,,,Company 461,Parent Account 4,CTO,,No,No,Legacy expensive,M&A drive,Strong roadmap,Competitor B,Partner X,Visibility
OPP-FY26-0462,EMEA,Enterprise,Company 462 - Data Platform Modernization,Prove,Owner 98,0,Q2 FY26,DevOps & Automation,61154,Deep dive,2026-03-08,,,,,,Company 462,Parent Account 41,,Yes,No,,Reg risk,Exec mandate,,Competitor C,Consulting Co,
OPP-FY26-0463,APAC,Enterprise,Company 463 - DevOps & Automation,Explore,Owner 117,0,Q3 FY26,Analytics & Reporting,39346,,2026-05-14,,,,,,Company 463,,Infra Lead,,,,Reg risk,,References match,Internal Build,Partner Y,Visibility
