opportunity number,region,Sales Team,Opportunity Name,epc phase,opportunity owner,Stage,Fiscal Period,Use Case,ACV ($),Next Steps,date in stage 0,date in Stage 1,Date in Stage 2,date in stage 3,days in stage 4,date in stage 5,account name,account grouping,contact title,Budget approved,Compelling event established,Close plan agreed,Why Anything?,Why Now?,Why us as a vendor?,Competitor,Partner,customer Need for our solution
OPP-HIST-00082,EMEA,Enterprise,Company 1082 - Cloud Cost Optimization,Commit,Owner 77,Closed Won,Q1 FY25,Security & Compliance,44770,Exec sponsor confirm,2024-10-04,2024-10-20,2024-11-29,2024-12-09,20,2025-01-01,Company 1082,,VP Eng,Yes,No,Yes,,Exec mandate,,Internal Build,None,Visibility
OPP-HIST-00083,LAC,SMB,Company 1083 - DevOps & Automation,Commit,Owner 33,Closed Won,Q2 FY24,DevOps & Automation,93241,Proposal review,2024-01-18,2024-02-25,2024-03-02,,27,2024-05-12,Company 1083,Parent Account 74,VP Eng,No,,No,Legacy expensive,,Strong roadmap,Competitor A,Consulting Co,Reduce Ops
OPP-HIST-00084,NORAM,Mid-Market,Company 1084 - Analytics & Reporting,Explore,Owner 79,Closed Lost,Q1 FY24,Analytics & Reporting,293456,Exec sponsor confirm,2023-11-03,2023-12-01,,,,2024-02-15,Company 1084,Parent Account 4,Infra Lead,Yes,No,Yes,Fragmented tools,M&A drive,,Competitor A,Partner X,Faster release
OPP-HIST-00085,LAC,Mid-Market,Company 1085 - Cloud Cost Optimization,Explore,Owner 152,Closed Lost,Q1 FY24,Data Platform Modernization,68002,Exec sponsor confirm,2023-11-04,2023-12-16,2023-12-19,2024-01-09,32,2024-03-05,Company 1085,Parent Account 12,CTO,Yes,Yes,Yes,Does not scale,,References match,Status Quo,Partner Y,Visibility
OPP-HIST-00086,NORAM,Enterprise,Company 1086 - Data Platform Modernization,Commit,Owner 32,Closed Lost,Q3 FY24,DevOps & Automation,71236,Exec sponsor confirm,2024-04-23,,2024-05-31,2024-06-17,,2024-07-28,Company 1086,Parent Account 94,,Yes,,No,Fragmented tools,Exec mandate,References match,Internal Build,Partner Y,Visibility
OPP-HIST-00087,NORAM,Public Sector,Company 1087 - Customer 360 View,Prove,Owner 45,Closed Lost,Q2 FY25,Data Platform Modernization,43410,Procurement alignment,2025-03-31,2025-04-06,2025-04-30,2025-05-18,,2025-07-27,Company 1087,,VP Eng,Yes,,,,Budget expires FY,Best fit,Competitor B,Partner Y,
OPP-HIST-00088,NORAM,Enterprise,Company 1088 - DevOps & Automation,Explore,Owner 189,Closed Won,Q1 FY24,Security & Compliance,33027,POC run,2023-12-11,2024-01-14,2024-02-03,2024-03-18,,2024-04-14,Company 1088,Parent Account 54,CIO,Yes,,No,Legacy expensive,,,Competitor B,None,Visibility
OPP-HIST-00089,GP&A,Public Sector,Company 1089 - Cloud Cost Optimization,Commit,Owner 138,Closed Won,Q2 FY25,Security & Compliance,107069,Procurement alignment,2025-01-13,2025-02-01,2025-03-01,,6,2025-03-25,Company 1089,,,Yes,Yes,Yes,Reg risk,Renewal soon,Best fit,Status Quo,Partner Y,Visibility
OPP-HIST-00090,APAC,Public Sector,Company 1090 - Cloud Cost Optimization,Prove,Owner 104,Closed Lost,Q1 FY24,Analytics & Reporting,32883,Deep dive,2023-12-03,2024-01-09,,,27,2024-04-14,Company 1090,Parent Account 101,Director IT,Yes,No,Yes,Reg risk,Renewal soon,Strong roadmap,Competitor C,GSII,Visibility
OPP-HIST-00091,NORAM,Strategic Accounts,Company 1091 - Security & Compliance,Prove,Owner 31,Closed Won,Q1 FY24,Data Platform Modernization,62950,,2023-11-20,2023-12-12,,2024-02-06,39,2024-04-02,Company 1091,,VP Eng,No,No,No,,Renewal soon,References match,Status Quo,None,Visibility
OPP-HIST-00092,NORAM,SMB,Company 1092 - AI/ML Enablement,Explore,Owner 94,Closed Won,Q1 FY25,Data Platform Modernization,42857,POC run,2024-11-07,2024-12-20,2025-01-07,,,2025-03-23,Company 1092,Parent Account 58,CTO,Yes,Yes,,Does not scale,M&A drive,Strong roadmap,Competitor C,GSII,Faster release
OPP-HIST-00093,EMEA,Mid-Market,Company 1093 - Data Platform Modernization,Explore,Owner 112,Closed Lost,Q2 FY24,Customer 360 View,83724,Implementation plan,2024-03-25,2024-05-03,2024-05-23,2024-06-26,32,2024-08-21,Company 1093,Parent Account 70,Director IT,No,Yes,,Legacy expensive,,Low TCO,Status Quo,GSII,Visibility
OPP-HIST-00094,EMEA,Mid-Market,Company 1094 - Security & Compliance,Prove,Owner 199,Closed Won,Q2 FY24,Data Platform Modernization,75626,,2024-01-11,2024-02-21,2024-03-04,2024-03-27,,2024-05-31,Company 1094,Parent Account 32,Cloud Arch,No,,Yes,Fragmented tools,Exec mandate,Best fit,Competitor A,Consulting Co,
OPP-HIST-00095,APAC,Enterprise,Company 1095 - Data Platform Modernization,Commit,Owner 141,Closed Lost,Q1 FY25,Cloud Cost Optimization,123782,,2024-11-27,2024-12-06,,2024-12-14,44,2025-03-05,Company 1095,,Head of Data,Yes,No,Yes,,,,Competitor B,Partner X,Faster release
OPP-HIST-00096,APAC,SMB,Company 1096 - Cloud Cost Optimization,Commit,Owner 12,Closed Lost,Q3 FY25,Analytics & Reporting,41897,Proposal review,2025-04-29,,2025-05-28,2025-06-28,31,2025-08-30,Company 1096,Parent Account 113,,No,,Yes,Legacy expensive,Renewal soon,Strong roadmap,Competitor B,Partner X,
OPP-HIST-00097,LAC,SMB,Company 1097 - Data Platform Modernization,Commit,Owner 40,Closed Lost,Q2 FY24,Security & Compliance,49567,,2024-02-24,2024-03-05,2024-03-21,,,2024-07-06,Company 1097,,CIO,Yes,No,,Does not scale,Exec mandate,Best fit,Competitor B,Partner Y,Reduce Ops
OPP-HIST-00098,NORAM,SMB,Company 1098 - Security & Compliance,Explore,Owner 59,Closed Lost,Q2 FY25,AI/ML Enablement,30177,Implementation plan,2025-01-22,2025-02-08,,2025-04-06,41,2025-06-22,Company 1098,Parent Account 90,CIO,Yes,,Yes,Reg risk,Renewal soon,Best fit,Competitor B,Consulting Co,
OPP-HIST-00099,GP&A,Strategic Accounts,Company 1099 - DevOps & Automation,Prove,Owner 137,Closed Lost,Q1 FY24,Analytics & Reporting,43870,Proposal review,2023-11-09,,2023-12-16,2024-01-10,38,2024-04-01,Company 1099,Parent Account 52,VP Eng,,Yes,Yes,,Budget expires FY,Low TCO,Status Quo,GSII,Security posture
OPP-HIST-00100,EMEA,Mid-Market,Company 1100 - Data Platform Modernization,Commit,Owner 13,Closed Lost,Q2 FY24,Security & Compliance,77972,Exec sponsor confirm,2024-03-20,,2024-05-10,2024-06-24,14,2024-08-20,Company 1100,,Infra Lead,No,,Yes,Does not scale,,,Competitor C,Partner Y,Security posture
OPP-HIST-00101,NORAM,Public Sector,Company 1101 - Analytics & Reporting,Commit,Owner 122,Closed Lost,Q1 FY25,AI/ML Enablement,101711,POC run,2024-12-22,2025-01-03,,2025-02-20,17,2025-03-16,Company 1101,Parent Account 188,VP Eng,Yes,No,Yes,Fragmented tools,M&A drive,,Status Quo,GSII,Security posture
OPP-HIST-00102,APAC,Mid-Market,Company 1102 - Cloud Cost Optimization,Prove,Owner 44,Closed Lost,Q3 FY24,Security & Compliance,31397,,2024-05-26,2024-07-10,2024-07-18,2024-08-26,3,2024-09-25,Company 1102,Parent Account 19,Head of Data,,,Yes,Legacy expensive,M&A drive,References match,Status Quo,Consulting Co,
OPP-HIST-00103,GP&A,Enterprise,Company 1103 - AI/ML Enablement,Prove,Owner 179,Closed Lost,Q2 FY25,DevOps & Automation,110053,,2025-01-30,2025-02-15,,2025-03-07,34,2025-05-10,Company 1103,Parent Account 91,CTO,Yes,,Yes,Reg risk,,,Competitor A,Partner Y,
OPP-HIST-00104,APAC,Enterprise,Company 1104 - Security & Compliance,Prove,Owner 144,Closed Lost,Q1 FY25,AI/ML Enablement,154654,,2024-12-30,2025-01-03,2025-01-28,2025-03-03,20,2025-04-19,Company 1104,Parent Account 140,Infra Lead,No,No,No,Fragmented tools,Budget expires FY,Strong roadmap,Competitor A,GSII,
OPP-HIST-00105,GP&A,Enterprise,Company 1105 - Cloud Cost Optimization,Commit,Owner 145,Closed Lost,Q1 FY24,Security & Compliance,79969,Proposal review,2023-12-30,2024-01-22,2024-02-08,,5,2024-04-01,Company 1105,Parent Account 98,CTO,Yes,No,Yes,,Budget expires FY,Best fit,Competitor B,Partner X,Security posture
OPP-HIST-00106,EMEA,Mid-Market,Company 1106 - Data Platform Modernization,Commit,Owner 66,Closed Won,Q2 FY25,Analytics & Reporting,222739,POC run,2025-03-08,2025-04-15,,2025-06-17,,2025-08-26,Company 1106,,,Yes,Yes,No,,Exec mandate,,Status Quo,Partner Y,
OPP-HIST-00107,EMEA,Enterprise,Company 1107 - Security & Compliance,Explore,Owner 27,Closed Won,Q2 FY25,Analytics & Reporting,34833,Exec sponsor confirm,2025-02-06,2025-03-07,2025-03-18,2025-04-28,16,2025-06-16,Company 1107,Parent Account 34,CIO,Yes,Yes,No,,M&A drive,References match,Competitor B,Partner Y,
OPP-HIST-00108,EMEA,Enterprise,Company 1108 - Security & Compliance,Explore,Owner 53,Closed Lost,Q1 FY24,Data Platform Modernization,25052,Proposal review,2023-12-11,,2024-02-18,2024-03-11,7,2024-04-14,Company 1108,,Cloud Arch,,No,No,Reg risk,Renewal soon,Best fit,Competitor C,GSII,
OPP-HIST-00109,GP&A,Mid-Market,Company 1109 - DevOps & Automation,Commit,Owner 35,Closed Won,Q2 FY25,Analytics & Reporting,17238,,2025-01-10,2025-02-06,2025-02-23,,,2025-03-27,Company 1109,Parent Account 80,Director IT,No,,Yes,Reg risk,M&A drive,,Competitor C,Partner Y,Security posture
OPP-HIST-00110,EMEA,Mid-Market,Company 1110 - Analytics & Reporting,Prove,Owner 15,Closed Won,Q1 FY25,Security & Compliance,170626,Proposal review,2024-10-13,2024-10-25,2024-12-08,,45,2025-03-15,Company 1110,Parent Account 94,CIO,No,,No,,Budget expires FY,Best fit,Competitor B,Partner X,
OPP-HIST-00111,GP&A,Strategic Accounts,Company 1111 - Data Platform Modernization,Explore,Owner 113,Closed Lost,Q2 FY24,Security & Compliance,94660,Implementation plan,2024-02-24,,,2024-04-05,17,2024-04-25,Company 1111,,Head of Data,No,,,Fragmented tools,Budget expires FY,Strong roadmap,Competitor B,Partner Y,
OPP-HIST-00112,NORAM,Mid-Market,Company 1112 - DevOps & Automation,Explore,Owner 75,Closed Won,Q3 FY25,Data Platform Modernization,57589,,2025-06-01,2025-06-12,2025-06-17,2025-06-28,21,2025-08-25,Company 1112,Parent Account 185,Director IT,No,No,Yes,Reg risk,M&A drive,Strong roadmap,Status Quo,None,Reduce Ops
OPP-HIST-00113,EMEA,Public Sector,Company 1113 - Cloud Cost Optimization,Commit,Owner 177,Closed Lost,Q2 FY24,AI/ML Enablement,72836,,2024-01-01,,2024-03-21,2024-04-07,31,2024-06-14,Company 1113,Parent Account 137,VP Eng,Yes,,Yes,Fragmented tools,,Low TCO,Competitor A,None,Faster release
OPP-HIST-00114,GP&A,SMB,Company 1114 - DevOps & Automation,Explore,Owner 162,Closed Won,Q2 FY24,Customer 360 View,27232,Deep dive,2024-03-27,2024-04-21,2024-05-29,2024-06-27,6,2024-08-14,Company 1114,Parent Account 27,Head of Data,No,Yes,Yes,,M&A drive,,Status Quo,Consulting Co,
OPP-HIST-00115,NORAM,Mid-Market,Company 1115 - DevOps & Automation,Commit,Owner 1,Closed Won,Q1 FY24,Security & Compliance,331713,Implementation plan,2023-12-14,2023-12-26,2024-01-07,2024-01-17,14,2024-02-27,Company 1115,,VP Eng,Yes,No,,,,Strong roadmap,Internal Build,None,
OPP-HIST-00116,LAC,SMB,Company 1116 - AI/ML Enablement,Explore,Owner 69,Closed Won,Q1 FY25,AI/ML Enablement,65542,Proposal review,2024-12-20,2025-01-04,,2025-03-10,42,2025-05-10,Company 1116,,Director IT,,No,Yes,Reg risk,,,Competitor C,None,
OPP-HIST-00117,GP&A,Mid-Market,Company 1117 - DevOps & Automation,Prove,Owner 45,Closed Lost,Q1 FY24,DevOps & Automation,64639,Proposal review,2023-10-19,2023-11-11,2023-12-10,2023-12-26,12,2024-01-12,Company 1117,,,,No,Yes,,Budget expires FY,Best fit,Competitor A,Partner X,Security posture
OPP-HIST-00118,LAC,Enterprise,Company 1118 - DevOps & Automation,Prove,Owner 138,Closed Won,Q1 FY25,Analytics & Reporting,99512,POC run,2024-11-27,2024-12-10,,2025-01-30,14,2025-02-21,Company 1118,Parent Account 107,Head of Data,No,,Yes,Does not scale,Renewal soon,Strong roadmap,Competitor A,Partner X,
OPP-HIST-00119,EMEA,Strategic Accounts,Company 1119 - DevOps & Automation,Prove,Owner 199,Closed Won,Q3 FY25,Customer 360 View,83843,Procurement alignment,2025-05-23,,2025-07-27,2025-09-08,0,2025-09-25,Company 1119,Parent Account 34,CTO,,Yes,No,,,,Competitor B,None,Security posture
OPP-HIST-00120,LAC,Public Sector,Company 1120 - Data Platform Modernization,Commit,Owner 177,Closed Won,Q1 FY25,DevOps & Automation,70032,Procurement alignment,2024-10-29,,2024-12-23,2025-01-27,10,2025-03-17,Company 1120,Parent Account 179,,,No,Yes,Legacy expensive,,Best fit,Status Quo,GSII,Reduce Ops
OPP-HIST-00121,EMEA,Public Sector,Company 1121 - DevOps & Automation,Explore,Owner 107,Closed Won,Q1 FY24,DevOps & Automation,34429,Exec sponsor confirm,2023-10-25,2023-10-28,,2024-01-02,23,2024-01-30,Company 1121,,Cloud Arch,Yes,,No,Legacy expensive,Budget expires FY,Best fit,Status Quo,None,Faster release
OPP-HIST-00122,GP&A,Enterprise,Company 1122 - Security & Compliance,Prove,Owner 142,Closed Lost,Q1 FY25,Analytics & Reporting,83285,,2024-11-22,2024-12-08,,2025-02-08,35,2025-03-23,Company 1122,Parent Account 20,CTO,Yes,Yes,,Legacy expensive,Budget expires FY,Low TCO,Competitor C,Partner X,Faster release
OPP-HIST-00123,EMEA,Mid-Market,Company 1123 - Analytics & Reporting,Explore,Owner 160,Closed Won,Q2 FY24,AI/ML Enablement,223555,Exec sponsor confirm,2024-01-07,2024-01-16,2024-02-29,,43,2024-05-17,Company 1123,Parent Account 105,CIO,Yes,No,Yes,Does not scale,,Low TCO,Competitor B,Consulting Co,Faster release
OPP-HIST-00124,LAC,Mid-Market,Company 1124 - Data Platform Modernization,Prove,Owner 58,Closed Lost,Q2 FY25,DevOps & Automation,153551,Exec sponsor confirm,2025-01-11,2025-02-17,,2025-03-29,,2025-06-04,Company 1124,Parent Account 163,CIO,No,Yes,,Reg risk,,References match,Internal Build,Consulting Co,Visibility
OPP-HIST-00125,NORAM,Public Sector,Company 1125 - Analytics & Reporting,Commit,Owner 78,Closed Won,Q2 FY25,AI/ML Enablement,182632,Deep dive,2025-03-02,2025-04-03,2025-04-25,2025-05-29,38,2025-07-25,Company 1125,Parent Account 74,Cloud Arch,No,Yes,No,,,Best fit,Status Quo,Consulting Co,Visibility
OPP-HIST-00126,NORAM,SMB,Company 1126 - Customer 360 View,Prove,Owner 92,Closed Won,Q3 FY24,Analytics & Reporting,41862,Deep dive,2024-05-01,,2024-05-19,2024-06-16,32,2024-07-29,Company 1126,Parent Account 143,Head of Data,Yes,Yes,No,Legacy expensive,,Low TCO,Internal Build,Partner Y,
OPP-HIST-00127,LAC,SMB,Company 1127 - DevOps & Automation,Explore,Owner 5,Closed Lost,Q3 FY25,AI/ML Enablement,29949,Deep dive,2025-04-20,,2025-05-19,2025-05-25,16,2025-06-13,Company 1127,Parent Account 143,VP Eng,Yes,No,Yes,Reg risk,Renewal soon,,Competitor A,Partner X,Visibility
OPP-HIST-00128,EMEA,SMB,Company 1128 - AI/ML Enablement,Commit,Owner 103,Closed Lost,Q2 FY24,Security & Compliance,54827,Deep dive,2024-01-04,2024-01-14,2024-01-20,,21,2024-03-18,Company 1128,Parent Account 10,,,No,No,Legacy expensive,M&A drive,Best fit,Competitor B,Partner X,Visibility
OPP-HIST-00129,EMEA,SMB,Company 1129 - Customer 360 View,Explore,Owner 154,Closed Lost,Q2 FY24,Data Platform Modernization,62255,POC run,2024-03-11,,2024-06-08,2024-06-29,4,2024-08-03,Company 1129,Parent Account 60,Head of Data,Yes,Yes,No,,Budget expires FY,,Competitor B,Consulting Co,Reduce Ops
OPP-HIST-00130,NORAM,Public Sector,Company 1130 - Data Platform Modernization,Commit,Owner 83,Closed Lost,Q3 FY25,Customer 360 View,128789,Exec sponsor confirm,2025-05-27,2025-06-03,2025-07-06,,12,2025-09-17,Company 1130,Parent Account 47,Head of Data,Yes,,,Fragmented tools,Exec mandate,Low TCO,Competitor A,GSII,Visibility
OPP-HIST-00131,NORAM,SMB,Company 1131 - AI/ML Enablement,Commit,Owner 188,Closed Lost,Q2 FY25,Cloud Cost Optimization,18311,Proposal review,2025-01-01,2025-01-23,,,31,2025-05-02,Company 1131,,Cloud Arch,No,,No,,Budget expires FY,,Competitor A,None,Reduce Ops
OPP-HIST-00132,LAC,Enterprise,Company 1132 - Data Platform Modernization,Explore,Owner 123,Closed Lost,Q1 FY25,Security & Compliance,174675,Exec sponsor confirm,2024-10-18,2024-11-02,2024-11-20,,41,2025-03-21,Company 1132,Parent Account 143,Director IT,Yes,Yes,No,Legacy expensive,Budget expires FY,,Status Quo,Partner X,Security posture
OPP-HIST-00133,EMEA,Mid-Market,Company 1133 - Security & Compliance,Prove,Owner 35,Closed Lost,Q1 FY24,AI/ML Enablement,53604,Exec sponsor confirm,2023-12-14,2024-01-03,2024-01-30,,33,2024-04-14,Company 1133,Parent Account 111,VP Eng,,Yes,,Does not scale,Renewal soon,Best fit,Competitor C,Partner Y,Visibility
OPP-HIST-00134,LAC,Strategic Accounts,Company 1134 - Customer 360 View,Prove,Owner 113,Closed Won,Q2 FY25,Customer 360 View,44408,Exec sponsor confirm,2025-01-13,2025-02-27,2025-04-04,2025-04-25,13,2025-05-29,Company 1134,,VP Eng,No,No,Yes,Fragmented tools,,Low TCO,Status Quo,Consulting Co,Visibility
OPP-HIST-00135,APAC,SMB,Company 1135 - Analytics & Reporting,Explore,Owner 109,Closed Lost,Q2 FY24,Analytics & Reporting,29481,POC run,2024-02-16,2024-03-02,2024-04-14,2024-05-25,8,2024-07-03,Company 1135,,Head of Data,,Yes,Yes,Does not scale,Renewal soon,Best fit,Internal Build,None,Visibility
OPP-HIST-00136,NORAM,Public Sector,Company 1136 - Analytics & Reporting,Prove,Owner 109,Closed Won,Q2 FY25,Security & Compliance,18799,Deep dive,2025-02-25,2025-02-28,,,39,2025-07-08,Company 1136,,,No,Yes,No,Fragmented tools,,,Competitor A,Partner X,Reduce Ops
OPP-HIST-00137,APAC,Public Sector,Company 1137 - Data Platform Modernization,Commit,Owner 26,Closed Won,Q1 FY24,Cloud Cost Optimization,106533,,2023-12-03,,2024-01-20,2024-02-28,,2024-04-23,Company 1137,Parent Account 16,CTO,No,Yes,,,,Strong roadmap,Status Quo,Consulting Co,
OPP-HIST-00138,EMEA,Strategic Accounts,Company 1138 - DevOps & Automation,Explore,Owner 23,Closed Lost,Q2 FY24,Analytics & Reporting,63027,Deep dive,2024-03-07,2024-03-13,2024-03-16,2024-04-28,37,2024-06-28,Company 1138,Parent Account 97,CTO,Yes,,,Fragmented tools,Budget expires FY,Best fit,Competitor B,None,Faster release
OPP-HIST-00139,APAC,Enterprise,Company 1139 - Cloud Cost Optimization,Commit,Owner 179,Closed Lost,Q2 FY25,Data Platform Modernization,24270,Implementation plan,2025-01-13,2025-01-16,2025-02-09,,,2025-04-03,Company 1139,Parent Account 53,VP Eng,No,,No,,,,Competitor B,Consulting Co,
OPP-HIST-00140,NORAM,Enterprise,Company 1140 - Customer 360 View,Prove,Owner 148,Closed Won,Q3 FY24,AI/ML Enablement,24183,Exec sponsor confirm,2024-05-07,2024-06-11,2024-06-20,2024-07-09,19,2024-09-09,Company 1140,Parent Account 67,Infra Lead,Yes,Yes,No,Reg risk,Exec mandate,,Competitor B,GSII,
OPP-HIST-00141,EMEA,Enterprise,Company 1141 - Security & Compliance,Prove,Owner 54,Closed Won,Q2 FY24,Customer 360 View,47332,Procurement alignment,2024-01-25,2024-02-14,2024-02-29,2024-03-04,30,2024-05-17,Company 1141,Parent Account 141,Director IT,No,Yes,Yes,Reg risk,,Low TCO,Status Quo,Partner X,
OPP-HIST-00142,NORAM,Mid-Market,Company 1142 - Cloud Cost Optimization,Commit,Owner 9,Closed Lost,Q3 FY25,AI/ML Enablement,192589,,2025-05-12,2025-06-10,2025-06-14,2025-06-28,11,2025-08-15,Company 1142,Parent Account 2,VP Eng,,No,,,Exec mandate,Best fit,Competitor A,Partner X,Faster release
OPP-HIST-00143,EMEA,Public Sector,Company 1143 - AI/ML Enablement,Explore,Owner 47,Closed Won,Q3 FY24,Data Platform Modernization,49925,Proposal review,2024-06-01,2024-07-14,,2024-08-07,29,2024-09-25,Company 1143,Parent Account 127,Cloud Arch,,,,,,Strong roadmap,Internal Build,Partner X,
OPP-HIST-00144,NORAM,Strategic Accounts,Company 1144 - Analytics & Reporting,Prove,Owner 185,Closed Won,Q1 FY24,Cloud Cost Optimization,20906,POC run,2023-11-08,,2024-01-12,2024-02-12,,2024-04-09,Company 1144,Parent Account 51,Director IT,,No,,Fragmented tools,Budget expires FY,,Internal Build,Partner Y,
OPP-HIST-00145,APAC,Strategic Accounts,Company 1145 - AI/ML Enablement,Explore,Owner 48,Closed Won,Q1 FY25,Cloud Cost Optimization,50411,Exec sponsor confirm,2024-10-09,,2024-12-23,2025-01-05,,2025-01-26,Company 1145,,VP Eng,No,Yes,Yes,Fragmented tools,Renewal soon,,Competitor A,Partner Y,Reduce Ops
OPP-HIST-00146,APAC,Mid-Market,Company 1146 - DevOps & Automation,Commit,Owner 187,Closed Won,Q3 FY24,Customer 360 View,49468,Exec sponsor confirm,2024-04-19,2024-04-30,,2024-06-09,,2024-06-29,Company 1146,Parent Account 190,Cloud Arch,No,No,Yes,Reg risk,Exec mandate,Best fit,Internal Build,Consulting Co,Visibility
OPP-HIST-00147,APAC,Public Sector,Company 1147 - DevOps & Automation,Explore,Owner 82,Closed Won,Q1 FY25,Security & Compliance,9065,,2024-12-16,2025-01-23,2025-01-27,2025-02-07,,2025-03-24,Company 1147,,Head of Data,No,,No,,M&A drive,Low TCO,Status Quo,None,Security posture
OPP-HIST-00148,GP&A,SMB,Company 1148 - Cloud Cost Optimization,Explore,Owner 104,Closed Won,Q2 FY24,AI/ML Enablement,57641,,2024-02-08,2024-02-25,,,,2024-06-26,Company 1148,Parent Account 187,,Yes,,No,Does not scale,Renewal soon,,Status Quo,Consulting Co,Security posture
OPP-HIST-00149,EMEA,Enterprise,Company 1149 - Security & Compliance,Explore,Owner 1,Closed Won,Q2 FY24,Cloud Cost Optimization,50937,Deep dive,2024-03-31,2024-04-03,2024-04-16,2024-04-23,,2024-05-21,Company 1149,Parent Account 133,Director IT,No,No,Yes,Fragmented tools,,Low TCO,Competitor A,Partner X,Visibility
OPP-HIST-00150,LAC,Enterprise,Company 1150 - AI/ML Enablement,Explore,Owner 139,Closed Lost,Q2 FY25,Data Platform Modernization,97474,Exec sponsor confirm,2025-03-10,2025-03-22,2025-04-09,2025-04-20,15,2025-06-08,Company 1150,Parent Account 22,Cloud Arch,No,No,,Does not scale,Budget expires FY,Low TCO,Competitor B,Consulting Co,Visibility
OPP-HIST-00151,EMEA,Mid-Market,Company 1151 - Cloud Cost Optimization,Explore,Owner 163,Closed Lost,Q1 FY25,Analytics & Reporting,218440,Exec sponsor confirm,2024-10-22,2024-11-14,2024-11-22,2025-01-06,,2025-03-26,Company 1151,,,Yes,,,Does not scale,,Strong roadmap,Internal Build,Consulting Co,Reduce Ops
