opportunity number,field / event,Old value,New Value,edit date
OPP-HIST-00144,Next Steps,POC run - follow up,Implementation plan,2023-12-19
OPP-HIST-00144,Next Steps,Implementation plan,Implementation plan - update,2024-01-27
OPP-HIST-00144,Next Steps,Implementation plan - update,Procurement alignment,2024-02-16
OPP-HIST-00144,Next Steps,Procurement alignment,Procurement alignment - follow up,2024-03-02
OPP-HIST-00145,Next Steps,Exec sponsor confirm,Exec sponsor confirm - update,2024-10-20
OPP-HIST-00147,Next Steps,,Deep dive,2025-01-19
OPP-HIST-00147,Next Steps,Deep dive,Deep dive,2025-01-29
OPP-HIST-00148,Next Steps,,Implementation plan,2024-03-11
OPP-HIST-00148,Next Steps,Implementation plan,Implementation plan - pending,2024-04-17
OPP-HIST-00148,Next Steps,Implementation plan - pending,Implementation plan - pending - pending,2024-05-21
OPP-HIST-00148,Next Steps,Implementation plan - pending - pending,Implementation plan - pending - pending - follow up,2024-06-21
OPP-HIST-00148,Next Steps,Implementation plan - pending - pending - follow up,Implementation plan - pending - pending - follow up - update,2024-06-23
OPP-HIST-00149,Next Steps,Deep dive,Exec sponsor confirm,2024-04-29
OPP-HIST-00150,Next Steps,Exec sponsor confirm,Exec sponsor confirm - minor,2025-03-22
OPP-HIST-00150,Next Steps,Exec sponsor confirm - minor,Exec sponsor confirm - minor (no change),2025-04-07
OPP-HIST-00152,Next Steps,Proposal review,Proposal review - update,2024-03-07
OPP-HIST-00152,Next Steps,Proposal review - update,Proposal review - update - update,2024-04-11
OPP-HIST-00152,Next Steps,Proposal review - update - update,Proposal review - update - update - pending,2024-05-16
OPP-HIST-00152,Next Steps,Proposal review - update - update - pending,Proposal review - update - update - pending (no change),2024-05-18
OPP-HIST-00153,Next Steps,Deep dive,Deep dive - minor,2023-11-29
OPP-HIST-00154,Next Steps,Deep dive,Deep dive - minor,2025-04-11
OPP-HIST-00155,Next Steps,,Deep dive,2024-02-03
OPP-HIST-00155,Next Steps,Deep dive,Deep dive,2024-03-13
OPP-HIST-00155,Next Steps,Deep dive,Deep dive - pending,2024-03-20
OPP-HIST-00155,Next Steps,Deep dive - pending,Deep dive - pending - follow up,2024-04-12
OPP-HIST-00156,Next Steps,Exec sponsor confirm,Deep dive,2025-04-21
OPP-HIST-00156,Next Steps,Deep dive,Proposal review,2025-05-27
OPP-HIST-00156,Next Steps,Proposal review,Proposal review,2025-06-18
OPP-HIST-00156,Next Steps,Proposal review,Proposal review - pending,2025-07-12
OPP-HIST-00157,Next Steps,Exec sponsor confirm,Exec sponsor confirm - pending,2024-12-23
OPP-HIST-00158,Next Steps,,POC run,2024-12-15
OPP-HIST-00158,Next Steps,POC run,Implementation plan,2024-12-31
OPP-HIST-00158,Next Steps,Implementation plan,Implementation plan - update,2025-01-04
OPP-HIST-00158,Next Steps,Implementation plan - update,Implementation plan - update - follow up,2025-01-18
OPP-HIST-00158,Next Steps,Implementation plan - update - follow up,Exec sponsor confirm,2025-02-05
OPP-HIST-00159,Next Steps,Procurement alignment,Procurement alignment - pending,2024-10-30
OPP-HIST-00159,Next Steps,Procurement alignment - pending,Procurement alignment - pending (no change),2024-11-03
OPP-HIST-00159,Next Steps,Procurement alignment - pending (no change),Exec sponsor confirm,2024-11-20
OPP-HIST-00161,Next Steps,POC run,POC run (no change),2024-01-28
OPP-HIST-00162,Next Steps,POC run,Procurement alignment,2024-04-06
OPP-HIST-00162,Next Steps,Procurement alignment,POC run,2024-04-27
OPP-HIST-00162,Next Steps,POC run,Exec sponsor confirm,2024-05-18
OPP-HIST-00162,Next Steps,Exec sponsor confirm,Exec sponsor confirm (no change),2024-06-05
OPP-HIST-00162,Next Steps,Exec sponsor confirm (no change),Exec sponsor confirm,2024-06-21
OPP-HIST-00163,Next Steps,Deep dive,Procurement alignment,2024-05-27
OPP-HIST-00163,Next Steps,Procurement alignment,Procurement alignment - follow up,2024-06-10
OPP-HIST-00163,Next Steps,Procurement alignment - follow up,POC run,2024-06-19
OPP-HIST-00164,Next Steps,,Implementation plan,2024-12-14
OPP-HIST-00164,Next Steps,Implementation plan,Procurement alignment,2025-01-08
OPP-HIST-00164,Next Steps,Procurement alignment,Procurement alignment - follow up,2025-02-15
OPP-HIST-00165,Next Steps,POC run,Procurement alignment,2023-11-17
OPP-HIST-00165,Next Steps,Procurement alignment,Procurement alignment - pending,2023-12-12
OPP-HIST-00165,Next Steps,Procurement alignment - pending,Procurement alignment,2023-12-31
OPP-HIST-00165,Next Steps,Procurement alignment,Procurement alignment (no change),2024-01-21
OPP-HIST-00166,Next Steps,Procurement alignment,Procurement alignment - update,2023-12-31
OPP-HIST-00166,Next Steps,Procurement alignment - update,Procurement alignment - update (no change),2024-01-28
OPP-HIST-00167,Next Steps,Proposal review,Proposal review - follow up,2024-10-21
OPP-HIST-00167,Next Steps,Proposal review - follow up,Procurement alignment,2024-11-18
OPP-HIST-00167,Next Steps,Procurement alignment,Procurement alignment - follow up,2024-12-14
OPP-HIST-00167,Next Steps,Procurement alignment - follow up,Procurement alignment - follow up - minor,2025-01-12
OPP-HIST-00167,Next Steps,Procurement alignment - follow up - minor,Procurement alignment - follow up - minor - minor,2025-02-12
OPP-HIST-00168,Next Steps,Procurement alignment,POC run,2023-12-13
OPP-HIST-00168,Next Steps,POC run,Implementation plan,2024-01-15
OPP-HIST-00168,Next Steps,Implementation plan,Implementation plan (no change),2024-01-27
OPP-HIST-00168,Next Steps,Implementation plan (no change),Procurement alignment,2024-02-15
OPP-HIST-00168,Next Steps,Procurement alignment,Deep dive,2024-03-05
OPP-HIST-00170,Next Steps,POC run,POC run (no change),2024-06-18
OPP-HIST-00170,Next Steps,POC run (no change),POC run (no change) - pending,2024-07-09
OPP-HIST-00171,Next Steps,Exec sponsor confirm,Exec sponsor confirm - minor,2025-03-15
OPP-HIST-00171,Next Steps,Exec sponsor confirm - minor,Proposal review,2025-03-27
OPP-HIST-00171,Next Steps,Proposal review,Proposal review - update,2025-04-15
OPP-HIST-00171,Next Steps,Proposal review - update,Proposal review - update - minor,2025-05-20
OPP-HIST-00171,Next Steps,Proposal review - update - minor,Proposal review,2025-05-26
OPP-HIST-00173,Next Steps,Procurement alignment,Procurement alignment - update,2025-01-10
OPP-HIST-00173,Next Steps,Procurement alignment - update,Deep dive,2025-02-08
OPP-HIST-00173,Next Steps,Deep dive,Deep dive - follow up,2025-03-03
OPP-HIST-00173,Next Steps,Deep dive - follow up,Exec sponsor confirm,2025-04-03
OPP-HIST-00174,Next Steps,,Exec sponsor confirm,2024-03-17
OPP-HIST-00174,Next Steps,Exec sponsor confirm,Implementation plan,2024-03-24
OPP-HIST-00174,Next Steps,Implementation plan,Implementation plan (no change),2024-04-10
OPP-HIST-00174,Next Steps,Implementation plan (no change),Implementation plan (no change) - minor,2024-05-10
OPP-HIST-00174,Next Steps,Implementation plan (no change) - minor,Implementation plan (no change) - minor - follow up,2024-05-19
OPP-HIST-00175,Next Steps,Deep dive,Deep dive - pending,2024-07-07
OPP-HIST-00176,Next Steps,Procurement alignment,Exec sponsor confirm,2024-04-23
OPP-HIST-00177,Next Steps,Exec sponsor confirm,Exec sponsor confirm - follow up,2024-02-09
OPP-HIST-00177,Next Steps,Exec sponsor confirm - follow up,Exec sponsor confirm - follow up - pending,2024-02-27
OPP-HIST-00177,Next Steps,Exec sponsor confirm - follow up - pending,Deep dive,2024-03-02
OPP-HIST-00177,Next Steps,Deep dive,Deep dive - follow up,2024-03-16
OPP-HIST-00177,Next Steps,Deep dive - follow up,Procurement alignment,2024-03-23
OPP-HIST-00178,Next Steps,Proposal review,Proposal review (no change),2025-04-27
OPP-HIST-00178,Next Steps,Proposal review (no change),Proposal review (no change) - minor,2025-06-01
OPP-HIST-00178,Next Steps,Proposal review (no change) - minor,Proposal review (no change) - minor - update,2025-06-18
OPP-HIST-00178,Next Steps,Proposal review (no change) - minor - update,Proposal review (no change) - minor - update - pending,2025-07-18
OPP-HIST-00179,Next Steps,,Deep dive,2025-03-13
OPP-HIST-00179,Next Steps,Deep dive,Proposal review,2025-03-23
OPP-HIST-00179,Next Steps,Proposal review,Proposal review - update,2025-04-11
OPP-HIST-00179,Next Steps,Proposal review - update,Proposal review - update - follow up,2025-05-20
OPP-HIST-00180,Next Steps,,POC run,2025-01-19
OPP-HIST-00180,Next Steps,POC run,Exec sponsor confirm,2025-02-07
OPP-HIST-00180,Next Steps,Exec sponsor confirm,Exec sponsor confirm (no change),2025-03-09
OPP-HIST-00180,Next Steps,Exec sponsor confirm (no change),POC run,2025-03-23
OPP-HIST-00181,Next Steps,POC run,POC run (no change),2025-05-11
OPP-HIST-00181,Next Steps,POC run (no change),POC run (no change) (no change),2025-05-20
OPP-HIST-00181,Next Steps,POC run (no change) (no change),Procurement alignment,2025-06-12
OPP-HIST-00182,Next Steps,POC run,POC run - update,2024-11-10
OPP-HIST-00185,Next Steps,Deep dive,Deep dive,2024-05-26
OPP-HIST-00185,Next Steps,Deep dive,Proposal review,2024-06-27
OPP-HIST-00185,Next Steps,Proposal review,Proposal review (no change),2024-07-04
OPP-HIST-00186,Next Steps,Procurement alignment,Procurement alignment - update,2024-02-15
OPP-HIST-00186,Next Steps,Procurement alignment - update,Procurement alignment - update - update,2024-03-11
OPP-HIST-00186,Next Steps,Procurement alignment - update - update,POC run,2024-03-24
OPP-HIST-00186,Next Steps,POC run,POC run - pending,2024-04-25
OPP-HIST-00188,Next Steps,Implementation plan,Implementation plan - follow up,2025-06-15
OPP-HIST-00189,Next Steps,Deep dive,Deep dive - follow up,2024-03-12
OPP-HIST-00190,Next Steps,Exec sponsor confirm,Exec sponsor confirm - update,2024-12-18
OPP-HIST-00191,Next Steps,Deep dive,Deep dive,2025-02-26
OPP-HIST-00191,Next Steps,Deep dive,Deep dive - follow up,2025-04-03
OPP-HIST-00191,Next Steps,Deep dive - follow up,Deep dive - follow up - update,2025-04-19
OPP-HIST-00191,Next Steps,Deep dive - follow up - update,Deep dive - follow up - update - follow up,2025-05-03
OPP-HIST-00191,Next Steps,Deep dive - follow up - update - follow up,Exec sponsor confirm,2025-05-11
OPP-HIST-00193,Next Steps,Exec sponsor confirm,Implementation plan,2025-04-28
OPP-HIST-00194,Next Steps,Exec sponsor confirm,Exec sponsor confirm - minor,2025-03-12
OPP-HIST-00195,Next Steps,Exec sponsor confirm,Exec sponsor confirm - pending,2024-11-05
OPP-HIST-00196,Next Steps,Implementation plan,Implementation plan - pending,2025-03-10
OPP-HIST-00196,Next Steps,Implementation plan - pending,Implementation plan - pending - minor,2025-04-03
OPP-HIST-00196,Next Steps,Implementation plan - pending - minor,Proposal review,2025-04-19
OPP-HIST-00197,Next Steps,POC run,POC run - update,2024-06-13
OPP-HIST-00197,Next Steps,POC run - update,Deep dive,2024-06-29
OPP-HIST-00198,Next Steps,,Procurement alignment,2023-12-26
OPP-HIST-00198,Next Steps,Procurement alignment,Procurement alignment,2024-01-13
OPP-HIST-00198,Next Steps,Procurement alignment,Procurement alignment - follow up,2024-01-18
OPP-HIST-00198,Next Steps,Procurement alignment - follow up,Procurement alignment - follow up (no change),2024-02-23
OPP-HIST-00199,Next Steps,Procurement alignment,Procurement alignment - pending,2023-11-05
OPP-HIST-00199,Next Steps,Procurement alignment - pending,Procurement alignment - pending - update,2023-11-22
OPP-HIST-00199,Next Steps,Procurement alignment - pending - update,Procurement alignment - pending - update - follow up,2023-12-22
OPP-HIST-00199,Next Steps,Procurement alignment - pending - update - follow up,Proposal review,2023-12-29
OPP-HIST-00200,Next Steps,,POC run,2024-11-11
OPP-HIST-00201,Next Steps,,Procurement alignment,2023-11-17
OPP-HIST-00201,Next Steps,Procurement alignment,Implementation plan,2023-12-22
OPP-HIST-00201,Next Steps,Implementation plan,Implementation plan (no change),2024-01-21
OPP-HIST-00202,Next Steps,Deep dive,Deep dive - update,2024-05-27
OPP-HIST-00202,Next Steps,Deep dive - update,Deep dive - update - minor,2024-06-18
OPP-HIST-00202,Next Steps,Deep dive - update - minor,Proposal review,2024-06-22
OPP-HIST-00203,Next Steps,Deep dive,Deep dive,2024-11-17
OPP-HIST-00203,Next Steps,Deep dive,Deep dive - follow up,2024-12-15
OPP-HIST-00203,Next Steps,Deep dive - follow up,Deep dive - follow up (no change),2025-01-12
OPP-HIST-00204,Next Steps,Proposal review,Deep dive,2024-01-12
OPP-HIST-00204,Next Steps,Deep dive,Deep dive (no change),2024-01-25
OPP-HIST-00204,Next Steps,Deep dive (no change),Deep dive (no change) (no change),2024-03-04
OPP-HIST-00205,Next Steps,Proposal review,Proposal review - minor,2025-03-27
OPP-HIST-00205,Next Steps,Proposal review - minor,Proposal review - minor (no change),2025-03-31
OPP-HIST-00205,Next Steps,Proposal review - minor (no change),Proposal review - minor (no change) - minor,2025-05-06
OPP-HIST-00205,Next Steps,Proposal review - minor (no change) - minor,Proposal review - minor (no change) - minor - update,2025-06-05
OPP-HIST-00206,Next Steps,Implementation plan,Implementation plan,2025-02-16
OPP-HIST-00207,Next Steps,,Procurement alignment,2025-04-08
OPP-HIST-00207,Next Steps,Procurement alignment,Proposal review,2025-04-19
OPP-HIST-00207,Next Steps,Proposal review,Proposal review - minor,2025-05-04
OPP-HIST-00207,Next Steps,Proposal review - minor,Proposal review - minor - pending,2025-05-30
OPP-HIST-00207,Next Steps,Proposal review - minor - pending,Proposal review - minor - pending - minor,2025-07-07
OPP-HIST-00208,Next Steps,,Procurement alignment,2025-06-18
OPP-HIST-00209,Next Steps,Implementation plan,Procurement alignment,2025-01-21
OPP-HIST-00209,Next Steps,Procurement alignment,Procurement alignment - minor,2025-02-13
OPP-HIST-00209,Next Steps,Procurement alignment - minor,Procurement alignment,2025-03-23
OPP-HIST-00209,Next Steps,Procurement alignment,Proposal review,2025-04-02
OPP-HIST-00209,Next Steps,Proposal review,Proposal review - follow up,2025-04-14
OPP-HIST-00211,Next Steps,,POC run,2024-12-31
OPP-HIST-00211,Next Steps,POC run,POC run - follow up,2025-02-09
OPP-HIST-00211,Next Steps,POC run - follow up,POC run - follow up - pending,2025-02-26
OPP-HIST-00211,Next Steps,POC run - follow up - pending,POC run - follow up - pending (no change),2025-03-06
OPP-HIST-00211,Next Steps,POC run - follow up - pending (no change),POC run - follow up - pending (no change) - follow up,2025-03-09
OPP-HIST-00212,Next Steps,Implementation plan,Implementation plan - follow up,2024-05-06
OPP-HIST-00212,Next Steps,Implementation plan - follow up,Deep dive,2024-05-17
OPP-HIST-00212,Next Steps,Deep dive,Implementation plan,2024-06-11
OPP-HIST-00212,Next Steps,Implementation plan,Exec sponsor confirm,2024-07-07
OPP-HIST-00213,Next Steps,Proposal review,Proposal review - pending,2024-03-11
OPP-HIST-00213,Next Steps,Proposal review - pending,Proposal review - pending - follow up,2024-04-19
OPP-HIST-00213,Next Steps,Proposal review - pending - follow up,Exec sponsor confirm,2024-04-23
OPP-HIST-00214,Next Steps,Deep dive,Deep dive (no change),2025-04-02
OPP-HIST-00216,Next Steps,POC run,POC run - follow up,2024-11-27
OPP-HIST-00216,Next Steps,POC run - follow up,POC run - follow up - minor,2025-01-06
OPP-HIST-00216,Next Steps,POC run - follow up - minor,POC run - follow up - minor - update,2025-01-23
OPP-HIST-00216,Next Steps,POC run - follow up - minor - update,POC run - follow up - minor - update (no change),2025-01-27
OPP-HIST-00218,Next Steps,Procurement alignment,POC run,2024-05-20
OPP-HIST-00218,Next Steps,POC run,POC run - pending,2024-06-08
OPP-HIST-00218,Next Steps,POC run - pending,Exec sponsor confirm,2024-07-14
OPP-HIST-00219,Next Steps,Deep dive,Deep dive (no change),2024-12-26
OPP-HIST-00219,Next Steps,Deep dive (no change),Deep dive (no change) - update,2025-01-17
OPP-HIST-00219,Next Steps,Deep dive (no change) - update,Deep dive (no change) - update - minor,2025-02-01
OPP-HIST-00221,Next Steps,,Proposal review,2025-06-29
OPP-HIST-00222,Next Steps,Implementation plan,Implementation plan - update,2024-06-05
OPP-HIST-00222,Next Steps,Implementation plan - update,Implementation plan - update - minor,2024-07-10
OPP-HIST-00223,Next Steps,Procurement alignment,Procurement alignment - minor,2025-03-08
OPP-HIST-00223,Next Steps,Procurement alignment - minor,Implementation plan,2025-04-01
OPP-HIST-00223,Next Steps,Implementation plan,Implementation plan - minor,2025-05-01
OPP-HIST-00223,Next Steps,Implementation plan - minor,POC run,2025-05-11
OPP-HIST-00223,Next Steps,POC run,Implementation plan,2025-05-16
OPP-HIST-00224,Next Steps,Proposal review,Proposal review (no change),2024-02-21
OPP-HIST-00224,Next Steps,Proposal review (no change),Proposal review (no change) - follow up,2024-03-10
OPP-HIST-00224,Next Steps,Proposal review (no change) - follow up,Implementation plan,2024-04-08
OPP-HIST-00225,Next Steps,Deep dive,Exec sponsor confirm,2025-05-13
OPP-HIST-00226,Next Steps,Deep dive,Deep dive - minor,2025-02-06
OPP-HIST-00226,Next Steps,Deep dive - minor,Deep dive - minor - minor,2025-02-23
OPP-HIST-00226,Next Steps,Deep dive - minor - minor,Deep dive - minor - minor - update,2025-03-20
OPP-HIST-00227,Next Steps,,POC run,2023-10-21
OPP-HIST-00227,Next Steps,POC run,Procurement alignment,2023-11-25
OPP-HIST-00227,Next Steps,Procurement alignment,Procurement alignment,2023-12-14
OPP-HIST-00227,Next Steps,Procurement alignment,Deep dive,2024-01-19
OPP-HIST-00227,Next Steps,Deep dive,Exec sponsor confirm,2024-02-11
OPP-HIST-00229,Next Steps,Procurement alignment,Exec sponsor confirm,2023-12-05
OPP-HIST-00229,Next Steps,Exec sponsor confirm,Exec sponsor confirm,2023-12-29
OPP-HIST-00229,Next Steps,Exec sponsor confirm,Exec sponsor confirm - follow up,2024-02-02
OPP-HIST-00229,Next Steps,Exec sponsor confirm - follow up,Exec sponsor confirm - follow up - pending,2024-02-09
OPP-HIST-00230,Next Steps,POC run,Proposal review,2025-02-11
OPP-HIST-00230,Next Steps,Proposal review,Proposal review - minor,2025-03-20
OPP-HIST-00232,Next Steps,Procurement alignment,Procurement alignment - minor,2024-12-18
OPP-HIST-00232,Next Steps,Procurement alignment - minor,POC run,2025-01-01
